Year,Fossil fuel and industry,land-use change emissions
1750,,
1751,0.00,
1752,0.00,
1753,0.00,
1754,0.00,
1755,0.00,
1756,0.00,
1757,0.00,
1758,0.00,
1759,0.00,
1760,0.00,
1761,0.00,
1762,0.00,
1763,0.00,
1764,0.00,
1765,0.00,
1766,0.00,
1767,0.00,
1768,0.00,
1769,0.00,
1770,0.00,
1771,0.00,
1772,0.00,
1773,0.00,
1774,0.00,
1775,0.00,
1776,0.00,
1777,0.00,
1778,0.00,
1779,0.00,
1780,0.00,
1781,0.01,
1782,0.01,
1783,0.01,
1784,0.01,
1785,0.01,
1786,0.01,
1787,0.01,
1788,0.01,
1789,0.01,
1790,0.01,
1791,0.01,
1792,0.01,
1793,0.01,
1794,0.01,
1795,0.01,
1796,0.01,
1797,0.01,
1798,0.01,
1799,0.01,
1800,0.01,
1801,0.01,
1802,0.01,
1803,0.01,
1804,0.01,
1805,0.01,
1806,0.01,
1807,0.01,
1808,0.01,
1809,0.01,
1810,0.01,
1811,0.01,
1812,0.01,
1813,0.01,
1814,0.01,
1815,0.01,
1816,0.01,
1817,0.01,
1818,0.01,
1819,0.01,
1820,0.01,
1821,0.01,
1822,0.02,
1823,0.02,
1824,0.02,
1825,0.02,
1826,0.02,
1827,0.02,
1828,0.02,
1829,0.02,
1830,0.02,
1831,0.02,
1832,0.02,
1833,0.02,
1834,0.02,
1835,0.03,
1836,0.03,
1837,0.03,
1838,0.03,
1839,0.03,
1840,0.03,
1841,0.03,
1842,0.04,
1843,0.04,
1844,0.04,
1845,0.04,
1846,0.04,
1847,0.05,
1848,0.05,
1849,0.05,
1850,0.05,0.69
1851,0.05,0.69
1852,0.06,0.70
1853,0.06,0.70
1854,0.07,0.70
1855,0.07,0.71
1856,0.08,0.71
1857,0.08,0.72
1858,0.08,0.72
1859,0.08,0.73
1860,0.09,0.70
1861,0.10,0.69
1862,0.10,0.68
1863,0.10,0.68
1864,0.11,0.68
1865,0.12,0.68
1866,0.12,0.68
1867,0.13,0.67
1868,0.14,0.67
1869,0.14,0.67
1870,0.15,0.74
1871,0.16,0.77
1872,0.17,0.79
1873,0.18,0.81
1874,0.17,0.83
1875,0.19,0.84
1876,0.19,0.85
1877,0.19,0.86
1878,0.20,0.87
1879,0.21,0.88
1880,0.24,0.88
1881,0.24,0.89
1882,0.26,0.90
1883,0.27,0.91
1884,0.28,0.92
1885,0.28,0.93
1886,0.28,0.93
1887,0.30,0.94
1888,0.33,0.94
1889,0.33,0.95
1890,0.36,0.98
1891,0.37,1.01
1892,0.37,1.02
1893,0.37,1.03
1894,0.38,1.04
1895,0.41,1.05
1896,0.42,1.06
1897,0.44,1.07
1898,0.47,1.08
1899,0.51,1.08
1900,0.53,1.12
1901,0.55,1.15
1902,0.57,1.17
1903,0.62,1.18
1904,0.62,1.20
1905,0.66,1.21
1906,0.71,1.22
1907,0.78,1.23
1908,0.75,1.23
1909,0.79,1.24
1910,0.82,1.21
1911,0.84,1.21
1912,0.88,1.20
1913,0.94,1.19
1914,0.85,1.17
1915,0.84,1.16
1916,0.90,1.15
1917,0.96,1.15
1918,0.94,1.15
1919,0.81,1.15
1920,0.93,1.20
1921,0.80,1.23
1922,0.85,1.25
1923,0.97,1.26
1924,0.96,1.27
1925,0.98,1.28
1926,0.98,1.28
1927,1.06,1.29
1928,1.07,1.29
1929,1.15,1.29
1930,1.05,1.35
1931,0.94,1.39
1932,0.85,1.41
1933,0.89,1.44
1934,0.97,1.46
1935,1.03,1.48
1936,1.13,1.50
1937,1.21,1.51
1938,1.14,1.51
1939,1.19,1.52
1940,1.30,1.54
1941,1.33,1.57
1942,1.34,1.56
1943,1.39,1.55
1944,1.38,1.54
1945,1.16,1.53
1946,1.24,1.52
1947,1.39,1.51
1948,1.47,1.50
1949,1.42,1.47
1950,1.63,1.55
1951,1.77,1.60
1952,1.80,1.62
1953,1.84,1.65
1954,1.87,1.67
1955,2.04,1.70
1956,2.18,1.73
1957,2.27,1.76
1958,2.33,1.79
1959,2.45,1.81
1960,2.57,1.67
1961,2.58,1.61
1962,2.69,1.57
1963,2.83,1.51
1964,2.99,1.46
1965,3.13,1.42
1966,3.29,1.38
1967,3.39,1.35
1968,3.57,1.35
1969,3.78,1.36
1970,4.05,1.32
1971,4.21,1.28
1972,4.37,1.25
1973,4.61,1.22
1974,4.62,1.18
1975,4.59,1.15
1976,4.86,1.13
1977,5.01,1.11
1978,5.07,1.07
1979,5.35,1.04
1980,5.29,1.09
1981,5.13,1.10
1982,5.08,1.11
1983,5.06,1.15
1984,5.24,1.19
1985,5.40,1.20
1986,5.57,1.24
1987,5.71,1.28
1988,5.92,1.30
1989,6.05,1.32
1990,6.05,1.32
1991,6.12,1.33
1992,6.06,1.35
1993,6.05,1.35
1994,6.15,1.34
1995,6.28,1.33
1996,6.42,1.31
1997,6.53,1.78
1998,6.55,1.23
1999,6.53,1.20
2000,6.70,1.32
2001,6.86,1.18
2002,6.96,1.34
2003,7.33,1.39
2004,7.69,1.34
2005,7.98,1.21
2006,8.27,1.25
2007,8.43,1.07
2008,8.70,1.13
2009,8.60,1.57
2010,9.02,1.42
2011,9.38,1.36
2012,9.53,1.60
2013,9.61,1.54
2014,9.69,1.60
2015,9.68,1.62
2016,9.74,1.30
2017,9.87,1.39
