Year,CH4
1970,266.099581199496
1971,275.813505172336
1972,284.35178019879
1973,300.0816193667
1974,302.598475017982
1975,298.030333387185
1976,311.719320746124
1977,310.683298084532
1978,318.609032915361
1979,315.709341361359
1980,308.702039519656
1981,292.750699669383
1982,292.800437203497
1983,290.647023613074
1984,289.558977364799
1985,290.955769509101
1986,292.466318164641
1987,291.144127814312
1988,300.807084544572
1989,304.828925735362
1990,301.328292734142
1991,300.270904564706
1992,301.367261589349
1993,300.341883718852
1994,301.187056099309
1995,302.276033242695
1996,303.42574159125
1997,299.843887210649
1998,293.320099049097
1999,292.6479480892
2000,292.957304931582
2001,293.513122905025
2002,294.86640999934
2003,302.436775861689
2004,309.96971578259
2005,317.539294340399
2006,324.424374176694
2007,327.896760379652
2008,333.545960370228
2009,333.897129581319
2010,341.648094101614
2011,347.557165689648
2012,352.98320365505
