Year,CO2_Fossil
1970,4.35956824793465
1971,4.33905305308143
1972,4.55675766335089
1973,4.82695112315007
1974,4.81426725785142
1975,4.79968490955448
1976,5.07316392035021
1977,5.22505249975348
1978,5.39338094530271
1979,5.54333052030597
1980,5.47926062773224
1981,5.37355176417105
1982,5.30680894917634
1983,5.33966817515762
1984,5.50761006602688
1985,5.57630834544813
1986,5.67713423773437
1987,5.85965406399546
1988,6.06774832707615
1989,6.17610531273649
1990,6.19837775352773
1991,6.23165068158697
1992,6.20890063222135
1993,6.25686298249744
1994,6.31448246771595
1995,6.49425155208717
1996,6.64865904322709
1997,6.7238538134139
1998,6.75291038884505
1999,6.80887982938591
2000,7.04451106977177
2001,7.10453943021664
2002,7.2252976821595
2003,7.56245135421057
2004,7.90656818571068
2005,8.19537004685146
2006,8.46507381851814
2007,8.76630711633593
2008,8.81942847417053
2009,8.69410568183384
2010,9.15019583750848
2011,9.43260463410209
2012,9.51027452455028
