Year,CO2_Bio
1970,0.86271196709896
1971,0.864749578758313
1972,0.875837889956321
1973,0.895560108031179
1974,0.914252041706433
1975,0.93319307125105
1976,0.953628361594028
1977,0.974540129912441
1978,1.00083759241851
1979,1.02096982437706
1980,1.04626183560186
1981,1.07079645887114
1982,1.09295875485056
1983,1.11586490670513
1984,1.15722374631422
1985,1.1807476093171
1986,1.1969415041858
1987,1.22351982827883
1988,1.24818788059957
1989,1.27189835212928
1990,1.2600336651436
1991,1.27301065730744
1992,1.2961573405993
1993,1.29637316870781
1994,1.31242221743274
1995,1.32650525182822
1996,1.35055667307884
1997,1.3630910201203
1998,1.37310758581906
1999,1.39378922291144
2000,1.40799282202263
2001,1.41747912605581
2002,1.4348485620911
2003,1.47882051384157
2004,1.52528254224021
2005,1.56265419716553
2006,1.59491160858739
2007,1.64557245827915
2008,1.69216259854718
2009,1.70673586489392
2010,1.77307416618804
2011,1.80953622952613
2012,1.82230635716628
