Year,N2O (TgN)
1970,5.4435458942
1971,5.5563835082
1972,5.7174715102
1973,5.9442506873
1974,6.0551482706
1975,6.1687112685
1976,6.3181649934
1977,6.4701552383
1978,6.6338595797
1979,6.8000816785
1980,6.8053024186
1981,6.8056505623
1982,6.7485528141
1983,6.8830648067
1984,7.0621033999
1985,7.0401577474
1986,7.0937638181
1987,7.1860833236
1988,7.2601930287
1989,7.3456893951
1990,7.211711166
1991,7.1678745886
1992,7.2207057538
1993,7.1934190029
1994,7.3258600016
1995,7.5574611453
1996,7.7109767631
1997,7.7136010909
1998,7.6612600037
1999,7.673719717
2000,7.7088846862
2001,7.7530998459
2002,7.8480448681
2003,8.0140597914
2004,8.2690780949
2005,8.4312634289
2006,8.5858663499
2007,8.8126952852
2008,8.8397649176
2009,8.7811557784
2010,8.9040816042
2011,9.0805275167
2012,9.1534184353
